author,comment,commentsCount,pageUrl,replyCount,title,type,videoID,voteCount,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
@nasingoikoipiri4383,Phill👏👏❤,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,Phill👏👏❤,phill👏👏❤,v2,1,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@cnyawira5541,"Educate the men, they're the elders and decision makers in the community. Reason with the elders and provide an alternative. Bringing down a practice like this is an attack on the culture, so the men in the culture need to lead the sensitisation",186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,"Educate the men, they're the elders and decision makers in the community. Reason with the elders and provide an alternative. Bringing down a practice like this is an attack on the culture, so the men in the culture need to lead the sensitisation","educate the men, they're the elders and decision makers in the community. reason with the elders and provide an alternative. bringing down a practice like this is an attack on the culture, so the men in the culture need to lead the sensitisation",v2,44,True,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
@atuyanyamusi2596,Thank you for this conversation ❤...i also went through the same fgm but i want to stand up for young girls from kisii not to be taken through it,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,Thank you for this conversation ❤...i also went through the same fgm but i want to stand up for young girls from kisii not to be taken through it,thank you for this conversation ❤...i also went through the same fgm but i want to stand up for young girls from kisii not to be taken through it,v2,29,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@Julie-kyalo,More Grace Phil and the entire team as you persue and educate us about these things,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,More Grace Phil and the entire team as you persue and educate us about these things,more grace phil and the entire team as you persue and educate us about these things,v2,16,False,False,True,False,False,False,True,False,False,True,substantive_v2_len
@immaculate-v9o,"Brought up in a maa culture, chauvinism is what causes most of the fgm and early marriage/pregnancy in the community. They get educated but what to live like the old times",186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,"Brought up in a maa culture, chauvinism is what causes most of the fgm and early marriage/pregnancy in the community. They get educated but what to live like the old times","brought up in a maa culture, chauvinism is what causes most of the fgm and early marriage/pregnancy in the community. they get educated but what to live like the old times",v2,32,False,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
@maryjames4031,Nakasirika tu kusikiza hii story. Kimila potevu😡😡😡😡😡😡,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,Nakasirika tu kusikiza hii story. Kimila potevu😡😡😡😡😡😡,nakasirika tu kusikiza hii story. kimila potevu😡😡😡😡😡😡,v2,7,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@MercyNyakio-kp7ok,"Me watching today,what  a great informative documentary, how i wish every  person can watch it and  share as well.we should stop early marriages through educating our girls and on the other side say no to fgm,,oh my goodness listening to this story its makes me feel so  sad ,our government should do something, let it implemented  the laws in the rightful  manner",186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,"Me watching today,what  a great informative documentary, how i wish every  person can watch it and  share as well.we should stop early marriages through educating our girls and on the other side say no to fgm,,oh my goodness listening to this story its makes me feel so  sad ,our government should do something, let it implemented  the laws in the rightful  manner","me watching today,what a great informative documentary, how i wish every person can watch it and share as well.we should stop early marriages through educating our girls and on the other side say no to fgm,,oh my goodness listening to this story its makes me feel so sad ,our government should do something, let it implemented the laws in the rightful manner",v2,65,True,True,True,False,False,False,True,False,False,False,emoji_or_punct_only
@jecintakagai1397,What a conversation!👌🏾,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,What a conversation!👌🏾,what a conversation!👌🏾,v2,3,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@benterbii,I has to pause and cry first😭😭😭really  this is happening.,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,I has to pause and cry first😭😭😭really  this is happening.,i has to pause and cry first😭😭😭really this is happening.,v2,11,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@Celinekaruri,Unfortunately its happening even to date breaks me the most recent case being hat gaala girl in wajir💔💔💔,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,Unfortunately its happening even to date breaks me the most recent case being hat gaala girl in wajir💔💔💔,unfortunately its happening even to date breaks me the most recent case being hat gaala girl in wajir💔💔💔,v2,18,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@abigailkhumaloel-selahgosp9922,"This is very informative and enlightening. Its so sad to hear how a girl child has to suffer so a man can be satisfied at their expense 😢
God of justice arise and advocate for the defenceless. 
It's amazing how brainwashing and manipulation can cause people to believe if an innocent child is not put through such atrocious pain, a curse will come upon the family.. such lies 🙄",186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,"This is very informative and enlightening. Its so sad to hear how a girl child has to suffer so a man can be satisfied at their expense 😢
God of justice arise and advocate for the defenceless. 
It's amazing how brainwashing and manipulation can cause people to believe if an innocent child is not put through such atrocious pain, a curse will come upon the family.. such lies 🙄","this is very informative and enlightening. its so sad to hear how a girl child has to suffer so a man can be satisfied at their expense 😢 god of justice arise and advocate for the defenceless. it's amazing how brainwashing and manipulation can cause people to believe if an innocent child is not put through such atrocious pain, a curse will come upon the family.. such lies 🙄",v2,68,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@sarahnemi4593,This is a well initiative that enlight each and every community that is still practicing FGM. keep the good work Phil and the cruel.,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,This is a well initiative that enlight each and every community that is still practicing FGM. keep the good work Phil and the cruel.,this is a well initiative that enlight each and every community that is still practicing fgm. keep the good work phil and the cruel.,v2,24,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@ceramum,Thanks for shedding a light on this topic. We need to address these issues as a society. End child marriage and FGM,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,Thanks for shedding a light on this topic. We need to address these issues as a society. End child marriage and FGM,thanks for shedding a light on this topic. we need to address these issues as a society. end child marriage and fgm,v2,22,False,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
@valentinewaswa,😢😢😢,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,😢😢😢,😢😢😢,v2,0,False,False,False,False,False,False,False,False,False,False,emoji_or_punct_only
@lusiginelson2813,This is pure content!,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,2,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,This is pure content!,this is pure content!,v2,4,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@annmunyi901,"Good job Phil.

You would have been a great presenter/ new anchor",186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,1,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,"Good job Phil.

You would have been a great presenter/ new anchor",good job phil. you would have been a great presenter/ new anchor,v2,12,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@fridahmwakoi9,What a conversation 😢,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,1,Youtube- Episode 1- A Girl Dad on a Mission .xlsx,comment,What a conversation 😢,what a conversation 😢,v2,3,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
