author,comment,commentsCount,pageUrl,replyCount,title,type,videoID,voteCount,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
@marygithui7958,"I wasn't prepared for this.
Damn.
I am sorry for having to experience this,as a child.",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,"I wasn't prepared for this.
Damn.
I am sorry for having to experience this,as a child.","i wasn't prepared for this. damn. i am sorry for having to experience this,as a child.",v1,18,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@pamelaotieno857,I can't stop crying. What a parent!,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,I can't stop crying. What a parent!,i can't stop crying. what a parent!,v1,8,False,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
@jacksonogandoh9637,"From your story it looks like you were also a bad child, don't blame it on your dad 100%",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,"From your story it looks like you were also a bad child, don't blame it on your dad 100%","from your story it looks like you were also a bad child, don't blame it on your dad 100%",v1,20,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@wawanjohi,"There's a layer of sadness in his face and voice even after dealing with all that trauma intentionally through therapy. And to think that he stood a chance to have a totally different life if the parents did a good job raising him 😢 is sad. 

It is evident that parents indeed shape their kid's lives.",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,2,Youtube- Undoing my Father's damage.xlsx,comment,"There's a layer of sadness in his face and voice even after dealing with all that trauma intentionally through therapy. And to think that he stood a chance to have a totally different life if the parents did a good job raising him 😢 is sad. 

It is evident that parents indeed shape their kid's lives.",there's a layer of sadness in his face and voice even after dealing with all that trauma intentionally through therapy. and to think that he stood a chance to have a totally different life if the parents did a good job raising him 😢 is sad. it is evident that parents indeed shape their kid's lives.,v1,57,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@muthoniblessed155,Your dad should go straight to jail..😢 may he face hell alive😮,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,Your dad should go straight to jail..😢 may he face hell alive😮,your dad should go straight to jail..😢 may he face hell alive😮,v1,12,False,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
@myterrynYT,Weeee....,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,Weeee....,weeee....,v1,1,False,False,False,False,False,False,False,False,False,False,emoji_or_punct_only
@JoanMaina-l3t,"This has touched my heart. As he was telling the story, I was visualising and I have felt his pain. This is one of the best stories I have heard. Thank you for sharing it ❤",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,"This has touched my heart. As he was telling the story, I was visualising and I have felt his pain. This is one of the best stories I have heard. Thank you for sharing it ❤","this has touched my heart. as he was telling the story, i was visualising and i have felt his pain. this is one of the best stories i have heard. thank you for sharing it ❤",v1,35,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@Lillyanne26,People hate single mothers but this is the typical home with dads😢😮,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,2,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,6,Youtube- Undoing my Father's damage.xlsx,comment,People hate single mothers but this is the typical home with dads😢😮,people hate single mothers but this is the typical home with dads😢😮,v1,12,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@MicClay-u3v,In afrika we talk about our dads with nostalgia. I cry for genz they can and will never understand this a father's love,175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,In afrika we talk about our dads with nostalgia. I cry for genz they can and will never understand this a father's love,in afrika we talk about our dads with nostalgia. i cry for genz they can and will never understand this a father's love,v1,24,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@kevinmutai6902,"You are strong..sir..ready to fly higher,.Supreme being would guide you..",175,https://www.youtube.com/watch?v=BCDdf4fSpYg,0,Undoing My Father’s Damage - Onyango Otieno (Rix poet),comment,,0,Youtube- Undoing my Father's damage.xlsx,comment,"You are strong..sir..ready to fly higher,.Supreme being would guide you..","you are strong..sir..ready to fly higher,.supreme being would guide you..",v1,13,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
