source_file,safe_name,total_reviewed_rows,kept_rows,retention_pct,source_row_dropped_if_detected
Full Tweet Stay away from vulgar women.xlsx,full_tweet_stay_away_from_vulgar_women,784,369,47.07,True
Instagram;A Happy Women's Day! Documentary announcement .xlsx,instagram_a_happy_women_s_day_documentary_announcement,117,76,64.96,False
Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,tiktok_men_are_not_missing_they_are_evolving_csv,1439,661,45.93,False
Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,tiktok_young_man_who_thinks_it_s_a_shame_not_having_a_car_at_35,1789,671,37.51,False
Tweet- There is no amount of .xlsx,tweet_there_is_no_amount_of,121,42,34.71,True
Tweet; I wonder how some men are satisfied with just one woman... .xlsx,tweet_i_wonder_how_some_men_are_satisfied_with_just_one_woman,163,82,50.31,True
Tweet_A woman can't love a man. It is a man who loves a woman..xlsx,tweet_a_woman_can_t_love_a_man_it_is_a_man_who_loves_a_woman,340,210,61.76,False
Youtube- Episode 1- A Girl Dad on a Mission .xlsx,youtube_episode_1_a_girl_dad_on_a_mission,184,137,74.46,False
Youtube- Undoing my Father's damage.xlsx,youtube_undoing_my_father_s_damage,173,119,68.79,False
Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,youtube_my_voice_was_beaten_out_of_me_by_my_father_toxic_masculinity,226,148,65.49,False
